Farm_ID,Farm_Location_Lat,Farm_Location_Lon,Farm_Postcode,Herd_Size,Farm_Type,Farm_Size_Acres,Biosecurity_Score,Cattle_Movement_In_Last_Year,Proximity_To_Other_Farms_Km,Land_Use_Composition_Woodland_Pct,Animal_ID,Animal_Age_Months,Breed,Sex,Origin_Type,Test_Date,Test_Result,Has_TB_History_Farm,Is_In_TB_Hotspot,Avg_Rainfall_3M_Prior_MM,Avg_Temperature_3M_Prior_C,Badger_Density_Score_Local,Proximity_To_Known_Badger_Sett_Km,Days_Since_Last_Test,Test_Season
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_088,69.0,Angus,Male,Born_On_Farm,2020-02-19,Negative,False,False,355,7.932141821033268,Low,76.4,619,February
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_067,11.0,Hereford,Female,Born_On_Farm,2022-02-20,Negative,False,False,132,7.225615948764206,Low,76.4,367,February
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_068,11.0,Charolais,Male,Born_On_Farm,2020-06-01,Negative,False,False,224,14.594385074718215,Low,76.4,641,June
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_076,46.0,Jersey,Female,Born_On_Farm,2022-06-08,Negative,False,False,250,5.245660272948486,Low,76.4,566,June
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_015,116.0,Hereford,Female,Born_On_Farm,2020-07-21,Negative,False,False,310,11.058648883972584,Low,76.4,639,July
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_048,175.0,Limousin,Male,Born_On_Farm,2021-01-02,Negative,False,False,348,17.258828501536556,Low,76.4,285,January
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_062,13.0,Hereford,Female,Born_On_Farm,2021-03-22,Negative,False,False,308,6.573610316129102,Low,76.4,103,March
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_009,17.0,Hereford,Male,Born_On_Farm,2022-01-05,Negative,False,False,244,15.31868068026166,Low,76.4,680,January
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_021,158.0,Hereford,Female,Born_On_Farm,2021-05-17,Negative,False,False,370,8.981229855350918,Low,76.4,113,May
FARM_0000,54.92798,-5.752489,BT45 7EO,121,Mixed,418,5.0,87.0,3.8,9,FARM_0000_ANIMAL_002,95.0,Holstein,Male,Purchased_From_Other_Farm,2021-03-21,Negative,False,False,225,9.212152196726073,Low,76.4,583,March
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_068,172.0,Charolais,Female,Born_On_Farm,2020-03-16,Negative,False,False,166,8.087848355350015,Low,70.4,584,March
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,,9.5,16,FARM_0001_ANIMAL_020,51.0,Limousin,Female,Purchased_From_Other_Farm,2021-01-22,Negative,False,False,385,9.089726464553,Low,70.4,278,January
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_031,159.0,Limousin,Female,Born_On_Farm,2021-06-09,Negative,False,False,369,14.64295593955709,Low,70.4,542,June
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_061,49.0,Charolais,Female,Born_On_Farm,2021-06-25,Negative,False,False,353,13.99396376567814,Low,70.4,299,June
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_018,93.0,Limousin,Male,Purchased_From_Other_Farm,2020-09-03,Negative,False,False,126,15.69728271589466,Low,70.4,374,September
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_037,83.0,Charolais,Female,Born_On_Farm,2021-01-18,Negative,False,False,184,5.923251244578843,Low,70.4,607,January
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_019,159.0,Angus,Female,Born_On_Farm,2020-11-23,Negative,False,False,151,6.621141607153007,Low,70.4,558,November
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_040,34.0,Limousin,Female,Born_On_Farm,2021-06-18,Negative,False,False,371,6.9150280198431755,Low,70.4,142,June
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_038,29.0,Limousin,Male,Born_On_Farm,2022-04-11,Negative,False,False,255,13.561494149123888,Low,70.4,492,April
FARM_0001,54.182461,-7.111695,BT28 7SN,77,Dairy,116,1.0,84.0,9.5,16,FARM_0001_ANIMAL_048,160.0,Jersey,,Purchased_From_Other_Farm,2022-02-14,Negative,False,False,279,15.001205670329114,Low,70.4,289,February
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_089,15.0,Jersey,Male,Purchased_From_Other_Farm,2020-09-02,Negative,False,False,118,10.534994427570197,Low,54.9,708,September
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_030,150.0,Angus,Male,Born_On_Farm,2022-03-24,Negative,False,False,273,15.92951895856081,Low,54.9,140,March
FARM_0002,54.963803,-7.724899,BT54 7IJ,108,Mixed,834,3.0,42.0,9.8,17,FARM_0002_ANIMAL_066,111.0,Hereford,Male,,2022-12-27,Negative,False,False,243,11.835953670631163,Low,54.9,391,December
