Farm_ID,Farm_Location_Lat,Farm_Location_Lon,Farm_Postcode,Farm_Street_Address,Farm_Phone_Number,Subscribed_To_Newsletter,Herd_Size,Farm_Type,Farm_Size_Acres,Biosecurity_Score,Cattle_Movement_In_Last_Year,Proximity_To_Other_Farms_Km,Land_Use_Composition_Woodland_Pct,Animal_ID,Animal_Age_Months,Breed,Sex,Origin_Type,Test_Date,Test_Result,Has_Disease_History_Farm,Avg_Rainfall_3M_Prior_MM,Avg_Temperature_3M_Prior_C,Badger_Density_Score_Local,Proximity_To_Known_Badger_Sett_Km,Days_Since_Last_Test,Test_Season
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_122,167,Charolais,Female,Purchased_From_Other_Farm,2021-04-22,Negative,False,162,7.4,Low,47.3,648,April
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_016,109,Holstein,Male,Born_On_Farm,2022-09-10,Negative,False,236,11.8,Low,47.3,424,September
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_051,72,Jersey,Female,Born_On_Farm,2022-09-24,Positive,False,162,10.1,Low,47.3,267,September
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_233,105,Charolais,Female,Born_On_Farm,2022-06-15,Negative,False,243,9.8,Low,47.3,562,June
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_165,138,Holstein,Female,Born_On_Farm,2021-07-11,Positive,False,246,13.5,Low,47.3,487,July
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_029,12,Angus,Male,Born_On_Farm,2020-08-28,Negative,False,347,10.6,Low,47.3,600,August
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_110,165,Limousin,Female,Born_On_Farm,2021-04-17,Negative,False,103,11.2,Low,47.3,236,April
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_045,153,Limousin,Female,Born_On_Farm,2022-03-18,Negative,False,117,10.9,Low,47.3,99,March
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_039,91,Jersey,Male,Born_On_Farm,2020-11-25,Negative,False,185,10.3,Low,47.3,240,November
FARM_0000,54.469866,-6.940463,BT27 9EZ,122 The Avenue,028 8929 8274,No,248,Mixed,825,5,23,3.4,9,FARM_0000_ANIMAL_114,178,Holstein,Female,Born_On_Farm,2020-05-15,Negative,False,146,4.2,Low,47.3,624,May
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_386,104,Jersey,Male,Born_On_Farm,2020-12-16,Positive,False,124,6.4,High,6.5,298,December
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_358,98,Hereford,Male,Born_On_Farm,2020-03-25,Negative,False,204,15.9,High,6.5,119,March
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_252,119,Holstein,Male,Born_On_Farm,2021-11-06,Negative,False,105,9.3,High,6.5,368,November
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_287,178,Jersey,Male,Born_On_Farm,2022-02-03,Negative,False,232,5.7,High,6.5,418,February
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_257,46,Jersey,Female,Purchased_From_Other_Farm,2022-03-24,Negative,False,279,18.0,High,6.5,434,March
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_116,72,Charolais,Male,Born_On_Farm,2021-11-25,Negative,False,302,16.7,High,6.5,635,November
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_269,52,Holstein,Female,Purchased_From_Other_Farm,2020-03-13,Negative,False,343,17.8,High,6.5,441,March
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_300,50,Angus,Female,Purchased_From_Other_Farm,2022-12-12,Negative,False,291,5.3,High,6.5,709,December
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_323,73,Hereford,Male,Purchased_From_Other_Farm,2021-02-20,Negative,False,356,13.4,High,6.5,595,February
FARM_0001,54.598148969962764,-7.163194381574867,BT17 1TW,6 Bangor Road,028 4772 3268,No,450,Beef,819,2,95,4.1,35,FARM_0001_ANIMAL_226,104,Jersey,Female,Born_On_Farm,2022-09-24,Negative,False,318,4.2,High,6.5,117,September
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_057,97,Jersey,Female,Born_On_Farm,2020-12-01,Negative,False,248,8.4,Low,72.1,157,December
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_113,175,Hereford,Female,Born_On_Farm,2022-08-29,Negative,False,332,11.5,Low,72.1,613,August
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_063,60,Charolais,Female,Born_On_Farm,2021-03-18,Negative,False,228,16.0,Low,72.1,322,March
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_117,123,Charolais,Male,Born_On_Farm,2020-07-17,Negative,False,129,6.2,Low,72.1,391,July
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_070,27,Hereford,Female,Born_On_Farm,2022-08-10,Negative,False,134,11.3,Low,72.1,348,August
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_036,158,Limousin,Male,Born_On_Farm,2020-01-31,Negative,False,130,17.9,Low,72.1,455,January
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_127,93,Jersey,Male,Born_On_Farm,2020-08-27,Negative,False,124,13.8,Low,72.1,424,August
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_118,170,Charolais,Female,Born_On_Farm,2022-05-12,Negative,False,105,6.4,Low,72.1,399,May
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_064,110,Limousin,Female,Born_On_Farm,2020-04-26,Negative,False,364,7.7,Low,72.1,346,April
FARM_0002,54.307554,-6.965558,BT18 6TW,,028 3568 9050,No,141,Beef,428,2,94,1.6,25,FARM_0002_ANIMAL_070,58,Jersey,Female,Born_On_Farm,2021-11-25,Negative,False,133,11.4,Low,72.1,389,November
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_156,170,Charolais,Female,Born_On_Farm,2020-05-31,Negative,True,182,14.8,Medium,7.4,371,May
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_232,96,Hereford,Male,Purchased_From_Other_Farm,2020-01-23,Negative,True,249,16.3,Medium,7.4,364,January
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_171,103,Hereford,Female,Born_On_Farm,2021-04-15,Negative,True,243,14.1,Medium,7.4,363,April
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_270,117,Angus,Female,Born_On_Farm,2022-06-09,Negative,True,181,4.1,Medium,7.4,135,June
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_375,81,Jersey,Female,Born_On_Farm,2021-03-17,Negative,True,147,7.6,Medium,7.4,662,March
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_183,160,Angus,Female,Born_On_Farm,2022-09-02,Negative,True,227,5.7,Medium,7.4,509,September
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_316,158,Angus,Female,Purchased_From_Other_Farm,2021-03-21,Negative,True,369,16.2,Medium,7.4,382,March
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_221,92,Limousin,Male,Born_On_Farm,2022-09-21,Positive,True,374,17.9,Medium,7.4,324,September
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_264,112,Angus,Female,Purchased_From_Other_Farm,2021-10-05,Positive,True,298,10.8,Medium,7.4,193,October
FARM_0003,54.57331906952188,-7.4077055137284065,BT20 4OP,150 Banbridge Road,,No,377,Dairy,762,1,108,2.9,25,FARM_0003_ANIMAL_245,89,Limousin,Male,Born_On_Farm,2021-12-31,Negative,True,299,12.9,Medium,7.4,382,December
FARM_0004,54.309681,-6.123535,BT2 7GX,34 Banbridge Road,028 3558 6061,No,410,Mixed,575,5,124,4.8,10,FARM_0004_ANIMAL_355,31,Holstein,Female,Born_On_Farm,2022-05-30,Negative,False,276,12.9,Medium,3.8,335,May
